,time,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanUSD,FlowInExUSD,HashRate,NDF,ROI30d
0,2015-07-30,6911,0.0,121335493200.826,0.0,0.0,0.0272119781252705,0.843710595995,0.0
1,2015-07-31,6863,0.0,602941851593.554,0.0,0.0,0.0479335803236398,0.843461477403,0.0
2,2015-08-01,5293,0.0,887254173531.021,0.0,0.0,0.0543474632366013,0.843234785927,0.0
3,2015-08-02,5358,0.0,1020253707547.48,0.0,0.0,0.0632866584607851,0.842998932487,0.0
4,2015-08-03,5280,0.0,1125837358847.06,0.0,0.0,0.0688128311935261,0.842649463997,0.0
5,2015-08-04,5368,0.0,1216587344565.17,0.0,0.0,0.0755807880342778,0.842412985057,0.0
6,2015-08-05,5235,0.0,1327837857486.72,0.0,0.0,0.0804675676004759,0.842281547914,0.0
7,2015-08-06,5116,0.0,1380846362251.63,0.0,0.0,0.0817631638140986,0.842172894481,0.0
8,2015-08-07,5189,0.0,1470838650662.28,0.0,0.0,0.0883419303707688,0.845208059895,0.0
9,2015-08-08,5256,86768712.520746,1586123528941.25,0.0283649021473539,1033887.54788563,0.0964831071616326,0.847130726345,0.0
10,2015-08-09,5123,86801326.1864632,1709479787484.64,0.0127303225390141,641431.295911687,0.101359674382084,0.848613546338,0.0
11,2015-08-10,5255,86834706.7207898,1837695763267.62,0.0183592840817919,1055334.86110199,0.111855484194767,0.84889719661,0.0
12,2015-08-11,5280,71666977.5726102,2036390797503.48,0.002256363912988,451343.749808081,0.124449902409336,0.849104755261,0.0
13,2015-08-12,5124,93274715.4983302,2207079742289.72,0.0206149539375434,474325.571090066,0.130915032416523,0.849313684039,0.0
14,2015-08-13,5286,136547211.26142,2336979708057.89,0.0165328986412459,1287942.88428817,0.143056636363579,0.84983969428,0.0
15,2015-08-14,5809,130100550.623567,2671253150471.51,0.0081183242525431,2101767.14720594,0.179594595227737,0.851300695619,0.0
16,2015-08-15,5382,129222078.651852,3378028425874.26,0.0068952602514807,937762.587796552,0.210530124619289,0.851730524254,0.0
17,2015-08-16,5132,111198807.190054,3631632144442.79,0.0041953681786529,1011471.88968601,0.215717629260323,0.851619456951,0.0
18,2015-08-17,5347,94067093.6884846,3908024035252.58,0.0039442629031313,384132.586530908,0.241920987638493,0.851571624547,0.0
19,2015-08-18,4948,78698415.4988737,4377694725368.53,0.005175782934901,510252.816530924,0.250772424488451,0.852431810683,0.0
20,2015-08-19,5192,90042355.9131052,4419573021824.62,0.0058947562631409,285419.231640434,0.265572407379485,0.85235069834,0.0
21,2015-08-20,4024,110537252.032546,4469109431846.1,0.0045300919554542,102258.962476162,0.208179649440934,0.852232933364,0.0
22,2015-08-21,5088,104334703.908618,4415252643654.76,0.002878003907035,293027.544553236,0.260000349573678,0.852362429092,0.0
23,2015-08-22,5271,101766142.230522,4828340997895.12,0.0166432077567519,126588.867091736,0.294632621132977,0.85244792884,0.0
24,2015-08-23,5013,98167082.2446105,5138351075672.98,0.0025936005628682,146413.776945485,0.29808919024565,0.852438493613,0.0
25,2015-08-24,5184,90059598.5859762,5179118882691.49,0.0024795118233592,156464.589531561,0.310769917558956,0.852168211092,0.0
26,2015-08-25,5097,92505038.581048,5173287673222.9,0.0023400309800139,128595.730324048,0.305265964761222,0.852192487236,0.0
27,2015-08-26,5003,85899946.1831364,5587304091731.81,0.0021146103341428,160371.160902847,0.323633506262941,0.851835795107,0.0
28,2015-08-27,4708,82758264.3222015,5925309861486.0,0.0017628269516495,104874.623909689,0.322899375027665,0.852113381957,0.0
29,2015-08-28,4653,94334692.6772954,6250868351995.99,0.0027013592139142,116708.9153298,0.33660581293319,0.851910008295,0.0
30,2015-08-29,4329,85911192.2387307,6657649139909.99,0.0015688053513474,56131.9018105017,0.333576122685001,0.851885472498,0.0
31,2015-08-30,4155,96213877.4843136,6780904668947.92,0.0016266643350856,170422.465361292,0.326130346124924,0.851963376366,0.0
32,2015-08-31,4122,95258420.9011725,7213764433229.34,0.0018668644483881,204919.043796909,0.344156834755417,0.852089396901,0.0
33,2015-09-01,3938,99186069.9417928,7641499013978.46,0.0020701585491979,300388.348735882,0.348326154268698,0.851970744682,0.0
34,2015-09-02,3577,95438206.2736662,8283953338039.25,0.0020533928699658,94512.0850543614,0.343209216883069,0.851558168131,0.0
35,2015-09-03,3383,90009539.2884842,8354596884230.87,0.0017998774483566,162809.393002723,0.327088889869291,0.851585904497,0.0
36,2015-09-04,4443,90038012.3970279,6469670080246.46,0.0021282157376493,121731.144075448,0.332865484808825,0.851448228983,0.0
37,2015-09-05,4921,99510599.2896975,6235386210268.61,0.0022573501800617,63620.4441338035,0.355329698211909,0.851427353687,0.0
38,2015-09-06,4978,97875723.9411782,6305025872317.3,0.0019551446412339,124086.614269967,0.363368192852201,0.851675398529,0.0
39,2015-09-07,4834,93205053.9095917,6339141092888.29,0.0020707795461928,115109.271580982,0.354665488602261,0.851871188044,6.30171918099318
40,2015-09-08,4923,92352468.316742,6077004932538.92,0.0023327948052006,155690.555487328,0.346384777167368,0.85241261157,5.29202637179561
41,2015-09-09,5035,88474432.4434333,6202066849531.53,0.0021247550488378,1218602.49051986,0.361394179029549,0.852621928987,0.834173618113491
42,2015-09-10,5003,86728986.7681709,6289587949042.92,0.0017595262240057,84962.1560828565,0.364349878063079,0.852583293401,19.7676767676768
43,2015-09-11,5141,67883786.4923953,6561787910853.37,0.0012747802083688,158622.948944872,0.390750041844249,0.85203381187,-27.972382891484
