,time,BlkCnt,DiffMean,FeeMeanUSD,FlowInExUSD,HashRate,NDF,PriceUSD,ROI30d
0,-1.7317157,-5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,-0.006727082752337404
1,-1.7310454,-5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,-0.006727082752337404
2,-1.730375,-5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,-0.006727082752337404
3,-1.7297047,-5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,-0.006727082752337404
4,-1.7290345,-5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,-0.006727082752337404
5,-1.7283642,-5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,-0.006727082752337404
6,-1.7276939,-4.9904761904761905,2.3246396739566717e-14,0.0,0.0,2.7108020872533285e-15,1.0,0.0,-0.006727082752337404
7,-1.7270236,-3.3904761904761904,2.3246396739566717e-14,0.0,0.0,8.70310143858276e-15,1.0,0.0,-0.006727082752337404
8,-1.7263533,-2.1714285714285713,2.3246396739566717e-14,0.0,0.0,1.3268662848859792e-14,1.0,0.0,-0.006727082752337404
9,-1.725683,-2.1333333333333333,2.3246396739566717e-14,0.0,0.0,1.3411336642850229e-14,1.0,0.0,-0.006727082752337404
10,-1.7250127,-1.0285714285714285,2.3246396739566717e-14,0.0,0.0,1.7548876671155956e-14,0.999897435897,0.0,-0.006727082752337404
11,-1.7243425,-0.8,2.3246396739566717e-14,0.0,0.0,1.840491943567259e-14,0.999961464355,0.0,-0.006727082752337404
12,-1.7236722,-0.9142857142857143,2.3246396739566717e-14,0.0,0.0,1.7976898053414273e-14,0.999937984496,0.0,-0.006727082752337404
13,-1.7230018,-1.6,2.3246396739566717e-14,0.0,0.0,1.540876976015138e-14,0.99994687915,0.0,-0.006727082752337404
14,-1.7223315,-1.561904761904762,2.3246396739566717e-14,0.0,0.0,1.5551443554141814e-14,0.999953596288,0.0,-0.006727082752337404
15,-1.7216612,-1.638095238095238,2.3246396739566717e-14,0.0,0.0,1.526609596587393e-14,0.99995872033,0.0,-0.006727082752337404
16,-1.7209909,-1.3333333333333333,2.3246396739566717e-14,0.0,0.0,1.640748631865845e-14,0.999963099631,0.0,-0.006727082752337404
17,-1.7203206,-1.3714285714285714,2.3246396739566717e-14,0.0,0.0,1.6264812524381005e-14,0.999966611018,0.0,-0.006727082752337404
18,-1.7196503,-1.8285714285714285,2.3246396739566717e-14,0.0,0.0,1.4552726995634747e-14,0.999969230769,0.0,-0.006727082752337404
19,-1.7189801,-2.2476190476190476,2.3246396739566717e-14,0.0,0.0,1.298331526059191e-14,0.99997124371,0.0,-0.006727082752337404
20,-1.7183098,-2.5142857142857142,2.3246396739566717e-14,0.0,0.0,1.1984598702084843e-14,0.999972881356,0.0,-0.006727082752337404
21,-1.7176394,1.9428571428571428,2.3246396739566717e-14,0.0,0.0,2.867743260901117e-14,0.999976133652,0.0,-0.006727082752337404
22,-1.7169691,1.561904761904762,2.3246396739566717e-14,0.0,0.0,2.7250694668245785e-14,0.999978575254,0.0,-0.006727082752337404
23,-1.7162988,-2.057142857142857,2.3246396739566717e-14,0.0,0.0,1.3696684231118111e-14,0.999979623026,0.0,-0.006727082752337404
24,-1.7156285,-2.019047619047619,2.3246396739566717e-14,0.0,0.0,1.3839358025108545e-14,0.999980582524,0.0,-0.006727082752337404
25,-1.7149582,-1.4476190476190476,2.3246396739566717e-14,0.0,0.0,1.597946493640013e-14,0.999797421731,0.0,-0.006727082752337404
26,-1.7142879,-1.1047619047619048,2.3246396739566717e-14,0.0,0.0,1.7263529082888073e-14,0.999808111644,0.0,-0.006727082752337404
27,-1.7136177,-1.2571428571428571,2.3246396739566717e-14,0.0,0.0,1.669283390663932e-14,0.999817427386,0.0,-0.006727082752337404
28,-1.7129474,-0.45714285714285713,2.3246396739566717e-14,0.0,0.0,1.968898358216053e-14,0.999827315542,0.0,-0.006727082752337404
29,-1.712277,-1.4095238095238096,2.3246396739566717e-14,0.0,0.0,1.6122138730390568e-14,0.999834648628,0.0,-0.006727082752337404
30,-1.7116067,-0.8380952380952381,2.3246396739566717e-14,0.0,0.0,1.8262245641395144e-14,0.999842237361,0.0,-0.006727082752337404
31,-1.7109364,-0.41904761904761906,2.3246396739566717e-14,0.0,0.0,1.9831657376437978e-14,0.999849180328,0.0,-0.006727082752337404
32,-1.7102661,-1.180952380952381,2.3246396739566717e-14,0.0,0.0,1.6978181494907202e-14,0.999756547424,0.0,-0.006727082752337404
33,-1.7095958,-0.9142857142857143,2.3246396739566717e-14,0.0,0.0,1.7976898053414273e-14,0.999766214939,0.0,-0.006727082752337404
34,-1.7089256,-1.0666666666666667,2.3246396739566717e-14,0.0,0.0,1.740620287716552e-14,0.999774871017,0.0,-0.006727082752337404
35,-1.7082553,-0.8,2.3246396739566717e-14,0.0,0.0,1.840491943567259e-14,0.999771670561,0.0,-0.006727082752337404
36,-1.707585,-0.6857142857142857,2.3246396739566717e-14,0.0,0.0,1.8832940817930907e-14,0.999780146232,0.0,-0.006727082752337404
